,address,asset,btc_amount,quantity,date
2725,17bWMRoqUgQSYUAsRp7R6dx5Gfk6e3rg4P,SMOLONMARS,0.0038,1,2023-01-01 13:47:04
2144,12QQz9ooEkT5nh65PudCq5jfLffcvLMink,SMOLGENESIS,0.01711999,1,2022-12-30 14:36:18
0,1PG9uKrDCPXh5TqewFqQCrEjpJsmzZ4vsJ,DOUTRUSTCARD,0.00656,5,2022-12-17 14:51:02
1,1Q94RwyqcqEWcgCpaMZngwFFE8ZeY4iHXB,DOUTRUSTCARD,0.001312,1,2022-12-17 13:47:18
3,1Mp47wKLV6qhG4ZED2UvHTYbVvnTswjge4,DOUTRUSTCARD,0.001312,1,2022-12-17 10:24:54
2,1KiDcw62VqeP5subMAEVWtFH85zvkFagwy,DOUTRUSTCARD,0.001312,1,2022-12-17 10:24:54
4,1DhwyR4LqtDRK1EDMA6S7tvKSdv1CgHg1s,DOUTRUSTCARD,0.001312,1,2022-12-17 05:53:15
5,15GxuGNzzoygPRC4PmnH2YKVfNyiVNKn9e,DOUTRUSTCARD,0.001312,1,2022-12-17 05:53:15
6,1Hy7GW4vt2DkyWUQBpfcbHn6qeHTx5jce5,DOUTRUSTCARD,0.001312,1,2022-12-17 02:45:06
7,1wm4NCEPGW3G1LkJVuLQMw8b6CoYvPaUb,DOUTRUSTCARD,0.002624,2,2022-12-17 02:43:42
8,1DiaoeWhk8uD1Cyx4BkHknYLhMfPKdj8j2,DOUTRUSTCARD,0.001312,1,2022-12-17 02:43:00
9,12aqL17DnuaKnhimExUb9f1npDTBrti32Y,DOUTRUSTCARD,0.001312,1,2022-12-17 01:07:21
10,16BpKgGWKDR34RuKR4GSJcGp7Xc3nN3zr8,DOUTRUSTCARD,0.001312,1,2022-12-16 23:58:28
11,1P1azLNkECYAgpJRdA8jyWhwaQqD2gJ71e,DOUTRUSTCARD,0.001312,1,2022-12-16 23:51:41
12,172yq1oCJy1gv1HDwrUNbGindVYbmtP4rV,DOUTRUSTCARD,0.001312,1,2022-12-16 21:48:49
13,1KiC2qVWqzKHqKrfCMnDAmdod513CWGWeP,DOUTRUSTCARD,0.001312,1,2022-12-16 21:19:09
15,15pAjmJ3XdZC4M9pBJeuoUxrPTnm4E9QXC,DOUTRUSTCARD,0.001312,1,2022-12-16 20:51:08
14,1JvhNQbQVoXtt15CqG7wEFGLKwx4qryxaR,DOUTRUSTCARD,0.005248,4,2022-12-16 20:51:08
17,18DCiQZznouMJQ8D3Ad7GcnjpYohGNsMJR,DOUTRUSTCARD,0.002624,2,2022-12-16 20:26:40
18,1LfDk3Ex9KPYS6L1WGwNdt1TvEg6Le8uq,DOUTRUSTCARD,0.002624,2,2022-12-16 20:26:40
16,1NqFjVke2fmpGwStD26Zy65rbvQtSB6q9H,DOUTRUSTCARD,0.001312,1,2022-12-16 20:26:40
19,1WweVUK8kLmSNt6yKKqwVxch3Z7Lw5HAY,DOUTRUSTCARD,0.002624,2,2022-12-16 19:35:51
20,17KCvGqgNgv5bBHEsZLbrJUGuSPFVdbwC8,DOUTRUSTCARD,0.002624,2,2022-12-16 19:35:51
21,15vHMiUEPwReuVmwhD3PyA15mCSQQu6k3n,DOUTRUSTCARD,0.001312,1,2022-12-16 17:23:37
22,1EWjvmCUySoYSmoAvzoG7ejAFzHaVVigpy,DOUTRUSTCARD,0.001312,1,2022-12-16 17:04:25
131,1Rare1arrXDYFZWh1SrrvwRAkN4TEuCHq,SMOLWALK,0.01,1,2022-12-16 16:39:30
486,1Rare1arrXDYFZWh1SrrvwRAkN4TEuCHq,DDOSSMOLATAK,0.0115,1,2022-12-16 16:37:56
24,1KEHvgrFpEpFqnPC6bZ1adBzATRHSXHB8S,DOUTRUSTCARD,0.001312,1,2022-12-16 16:33:12
23,1BqpGuSGN11zwFeUZi6gBK37AQCA32yVYW,DOUTRUSTCARD,0.002624,2,2022-12-16 16:33:12
25,1Q5rfHETEWmZWQ8tQGmVyKtKhvUbufvyvM,DOUTRUSTCARD,0.001312,1,2022-12-16 15:46:57
27,1Rare1arrXDYFZWh1SrrvwRAkN4TEuCHq,DOUTRUSTCARD,0.002624,2,2022-12-16 15:45:29
26,1Rare1arrXDYFZWh1SrrvwRAkN4TEuCHq,DOUTRUSTCARD,0.005248,4,2022-12-16 15:45:29
29,1PG9uKrDCPXh5TqewFqQCrEjpJsmzZ4vsJ,DOUTRUSTCARD,0.00656,5,2022-12-16 15:45:29
28,12TUAPykC7F6Nj5FM7q3PReepQgfGeNYgB,DOUTRUSTCARD,0.001312,1,2022-12-16 15:45:29
30,1HWVzEHPbEwXr2siC8XqnDbi6ZNC3Qwxe,DOUTRUSTCARD,0.001312,1,2022-12-16 15:45:29
32,14ThP9iW1RS6hidRicN6CC7bEDZHxspEru,DOUTRUSTCARD,0.001312,1,2022-12-16 15:25:59
31,1Fiv5DGCuWgR4HsCJomeVah3aziWMSk5K9,DOUTRUSTCARD,0.010496,8,2022-12-16 15:25:59
33,13XhZYidP7Pouvnqu7JCPwV9jw9jjEdTZp,DAILYSMOL,0.0775,1,2022-12-13 03:39:01
49,1Rare1arrXDYFZWh1SrrvwRAkN4TEuCHq,FACEPALMCARD,0.0042069,1,2022-12-09 20:01:57
34,1DiaoeWhk8uD1Cyx4BkHknYLhMfPKdj8j2,DAILYSMOL,0.075,1,2022-12-08 09:42:09
35,15GxuGNzzoygPRC4PmnH2YKVfNyiVNKn9e,DAILYSMOL,0.063,1,2022-11-27 00:49:54
50,14ThP9iW1RS6hidRicN6CC7bEDZHxspEru,FACEPALMCARD,0.0042069,1,2022-11-24 00:02:59
2732,1Q27QQB6VDatN78eWd6DVy2qz2ioE2cEtA,BADBITCHAPU,0.066,1,2022-11-20 06:27:29
51,1Q94RwyqcqEWcgCpaMZngwFFE8ZeY4iHXB,FACEPALMCARD,0.003,1,2022-11-16 12:50:36
52,1P1azLNkECYAgpJRdA8jyWhwaQqD2gJ71e,FACEPALMCARD,0.003936,1,2022-11-15 03:52:20
53,1HWVzEHPbEwXr2siC8XqnDbi6ZNC3Qwxe,FACEPALMCARD,0.00320001,1,2022-11-15 00:08:56
54,1JBEzg8ZcQQiLwJtDgp6Q4ssNxexoYQx8N,FACEPALMCARD,0.00264,2,2022-11-14 13:02:54
56,12CsJKdWnAHmRoh2gdnKfqnA4h93cJLa6z,FACEPALMCARD,0.001312,1,2022-11-14 12:36:11
55,1Ho7DdULUUR1upkyoRr1v61mQGpQXdeTJt,FACEPALMCARD,0.001312,1,2022-11-14 12:36:11
