,address,asset,block_index,btc_amount,dispenser,quantity,timestamp
2596,1HiRdqJxsmcKwkyTjUfwxqyaDDvFPqbgDM,OLDSOULSMOL,776790,0.0079,3a4763007ca9ba48173671b376ddb63b7816a6e9c70c2f713dfbf16f42a10cad,1,2023-02-16 08:20:40
647,12gafQAtFKQLkGUYcKgx1zVi1ZhzPjkeL2,SMOLISARTNYC,776386,0.02,d656534e0760d8bf4dd52734d865e15b83be8536e8cc894f84dff4d55344c651,1,2023-02-13 20:36:47
2942,1BqpGuSGN11zwFeUZi6gBK37AQCA32yVYW,VIBESYSTEMS,775903,0.0125,1e9e012a4138a73843b4b8361a347d05e72678200ffdd614a7e42160f546fcf2,1,2023-02-10 17:27:14
1623,1J8aLankHbmAHojseGRmWRZoTZKiNVi5GQ,SMOLADY,775886,0.0023,4be82e2ebe56d0160dc35c99b4754fd7c92768aedceeff5372b7277e216bc1ed,1,2023-02-10 14:47:33
600,1J8aLankHbmAHojseGRmWRZoTZKiNVi5GQ,COPEFEST,775886,0.00199,edc16965fd02449817583cc6ec03eef14cb3eb2bdaf3e6937f876e1f9d9de1ee,1,2023-02-10 14:47:33
1328,12aqL17DnuaKnhimExUb9f1npDTBrti32Y,SMOLOFFER,775216,0.001,3add8fe0b491717280ff9eab33e1430bef878ba0aa5c6376c19878ac1768776a,1,2023-02-06 01:19:18
2225,1Acf8VnTtBosiKsBag2hAPDeKcsAsCkuxS,SMOLMAGIC,775041,0.02144474,b28221e92d90d38910c75b950ef237ef518f7eac7501e1ecae40f4a271e8f96b,2,2023-02-04 21:57:21
1929,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,NUDEYOGASMOL,774727,0.0065,6f3d6dd71dd2a0e32bed364b3b36e018423a056915527fd66f55f64414a543d8,1,2023-02-02 13:16:23
880,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,SMOLFUD,774667,0.01,3165ebdd68cb34a6095e12fd04687940d0bf946bb4726fb27b4da09b89c1406d,1,2023-02-02 03:12:24
601,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,COPEFEST,774667,0.00199,edc16965fd02449817583cc6ec03eef14cb3eb2bdaf3e6937f876e1f9d9de1ee,1,2023-02-02 03:12:24
170,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,NEKOMOTO,774667,0.0062,f92b13a1c3dcd613d9ad34505404756a2e93b2f8f4bfba077c95c4940db7aa5e,1,2023-02-02 03:12:24
2979,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,TRASHCAPTCHA,774667,0.0072,25a5c469dc743a7d58ecacabeacf1ec2a736a91d7b6fed7c5376c5bbfbab5490,1,2023-02-02 03:12:24
87,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,FACEPALMCARD,774667,0.0042069,74ae272d75d3386b67a81419c86cc410860e93b009666ed1afe04318a78d02b1,1,2023-02-02 03:12:24
2541,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,KEVINRIDE,774667,0.0049,5ae57a40faf64a63d769e7c584d3434bd05739b1cf3db7ee5fd1bdcac42722da,1,2023-02-02 03:12:24
781,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,BIRBSMOLBIRB,774667,0.00299,537c5f7fae16a204065fe5cddbabe94f2516f0e33916bd26cce12f25d47c8bb6,1,2023-02-02 03:12:24
1236,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,COBIESMOL,774667,0.003,1c30eddcb5b0aa142c0653dc9103ca83433763cd973f664c235bb4b904725e5b,1,2023-02-02 03:12:24
1678,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,SMOLBOYMIAMI,774665,0.0054,b5f200dfc4016206f2c48ee83588220f4589fff8bc3e24fa88ef685c378d82a9,2,2023-02-02 03:03:44
2227,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,SMOLMAGIC,774524,0.0069,6249b63fc420cc34483e9dccab97a41895f9b70c8936c77c9340742f4dbb588d,1,2023-02-01 03:49:29
2226,1Zu1zT3vJmKhwQthdYckGiYyGiCV9ZkhR,SMOLMAGIC,774524,0.0069,6249b63fc420cc34483e9dccab97a41895f9b70c8936c77c9340742f4dbb588d,1,2023-02-01 03:49:29
0,15vHMiUEPwReuVmwhD3PyA15mCSQQu6k3n,DAILYSMOL,773930,0.073,a3b25829ebdcb9a3ff75dbb348e530307224e6d4741611c3d981c3bc18e157bd,1,2023-01-28 00:31:16
