asset,asset_longname,issuer,quantity,source
DOUTRUSTCARD,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
DAILYSMOL,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
LETSPHONKWLK,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
FACEPALMCARD,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
WHERISMYFREN,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
HOUSEOFDEGEN,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
NEKOMOTO,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
DANCERFRENS,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
JPONZIMORGAN,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,99,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
SMOLWALK,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
LETMYPEPESGO,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
ROYALTYSPAM,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
NOTSCARYMAZE,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
TREEOFMEME,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
TIFFANYANDTO,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
SMOLBTCFAUNA,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
SMOLIMPOSTER,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
METAROYALTY,,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX,0,1DRZVQe58Tr9WxDNYdJUbye3toH1zkedX
